"PackageType","PackageId","RequestedVersion","ResolvedVersion","LatestVersion","AutoReferenced"
"TopLevel","CommunityToolkit.Mvvm","8.4.0","8.4.0","8.4.2",
"TopLevel","Microsoft.Extensions.Caching.Memory","9.0.0","9.0.0","10.0.6",
"TopLevel","Microsoft.Extensions.DependencyInjection","9.0.0","9.0.0","10.0.6",
"TopLevel","Microsoft.Extensions.Logging","9.0.0","9.0.0","10.0.6",
"TopLevel","Microsoft.Extensions.Logging.Console","9.0.0","9.0.0","10.0.6",
"TopLevel","Microsoft.NET.ILLink.Tasks","[8.0.25, )","8.0.25",,"true"
"TopLevel","StyleCop.Analyzers","1.2.0-beta.556","1.2.0-beta.556",,
"TopLevel","System.Drawing.Common","9.0.7","9.0.7","10.0.6",
"TopLevel","System.Management","8.0.0","8.0.0","10.0.6",
"TopLevel","System.ServiceProcess.ServiceController","9.0.7","9.0.7","10.0.6",
"TopLevel","WPF-UI","4.2.0","4.2.0",,
"Transitive","Microsoft.Extensions.Caching.Abstractions","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.Configuration","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.Configuration.Abstractions","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.Configuration.Binder","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.DependencyInjection.Abstractions","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.Logging.Abstractions","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.Logging.Configuration","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.Options","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.Options.ConfigurationExtensions","","9.0.0","10.0.6",""
"Transitive","Microsoft.Extensions.Primitives","","9.0.0","10.0.6",""
"Transitive","Microsoft.Win32.SystemEvents","","9.0.7","10.0.6",""
"Transitive","StyleCop.Analyzers.Unstable","","1.2.0.556",,""
"Transitive","System.CodeDom","","8.0.0","10.0.6",""
"Transitive","System.Diagnostics.DiagnosticSource","","9.0.0","10.0.6",""
"Transitive","System.Diagnostics.EventLog","","9.0.7","10.0.6",""
"Transitive","System.IO.Pipelines","","9.0.0","10.0.6",""
"Transitive","System.Text.Encodings.Web","","9.0.0","10.0.6",""
"Transitive","System.Text.Json","","9.0.0","10.0.6",""
"Transitive","WPF-UI.Abstractions","","4.2.0",,""
